"","week","usertype","gender","events","temperature","tripduration","no.customers"
"1",1,"Subscriber","Female","clear",-4,4.21666666666667,1
"2",1,"Subscriber","Female","clear",0,8.58214285714286,14
"3",1,"Subscriber","Female","clear",1,5.475,2
"4",1,"Subscriber","Female","clear",1.9,10.3992063492063,21
"5",1,"Subscriber","Female","clear",3,8.01481481481481,9
"6",1,"Subscriber","Female","clear",3.9,9.68985507246377,46
"7",1,"Subscriber","Female","clear",5,4.64583333333333,4
"8",1,"Subscriber","Female","clear",6.1,6.45833333333333,2
"9",1,"Subscriber","Female","clear",7,9.54444444444444,3
"10",1,"Subscriber","Female","clear",8.1,24.1333333333333,3
"11",1,"Subscriber","Female","clear",9,13.8694444444444,6
"12",1,"Subscriber","Female","clear",10,10.818018018018,37
"13",1,"Subscriber","Female","clear",10.9,8.19230769230769,13
"14",1,"Subscriber","Female","clear",12,7.5554347826087,46
"15",1,"Subscriber","Female","clear",12.9,7.47121212121212,22
"16",1,"Subscriber","Female","clear",14,10.6775,20
"17",1,"Subscriber","Female","clear",16,10.6638888888889,12
"18",1,"Subscriber","Female","clear",17.1,9.02569444444445,24
"19",1,"Subscriber","Female","clear",18,10.7787037037037,18
"20",1,"Subscriber","Female","clear",28,13.0416666666667,2
"21",1,"Subscriber","Female","clear",28.9,13.9666666666667,1
"22",1,"Subscriber","Female","cloudy",0,8.47126436781609,58
"23",1,"Subscriber","Female","cloudy",1,7.07222222222222,3
"24",1,"Subscriber","Female","cloudy",1.9,7.75343915343915,63
"25",1,"Subscriber","Female","cloudy",3,8.62619047619048,7
"26",1,"Subscriber","Female","cloudy",3.9,9.73181818181818,55
"27",1,"Subscriber","Female","cloudy",5,11.0033707865169,89
"28",1,"Subscriber","Female","cloudy",6.1,7.81838487972509,97
"29",1,"Subscriber","Female","cloudy",7,9.1874053030303,176
"30",1,"Subscriber","Female","cloudy",8.1,8.97960199004975,134
"31",1,"Subscriber","Female","cloudy",9,9.70631067961165,103
"32",1,"Subscriber","Female","cloudy",10,8.77894308943089,205
"33",1,"Subscriber","Female","cloudy",10.9,9.61151271753681,249
"34",1,"Subscriber","Female","cloudy",12,9.3655737704918,61
"35",1,"Subscriber","Female","cloudy",12.9,10.5463126843658,226
"36",1,"Subscriber","Female","cloudy",14,9.45477855477855,143
"37",1,"Subscriber","Female","cloudy",15.1,9.80690021231423,157
"38",1,"Subscriber","Female","cloudy",16,10.9347417840376,142
"39",1,"Subscriber","Female","cloudy",17.1,9.51819137749737,317
"40",1,"Subscriber","Female","cloudy",18,9.63982843137255,136
"41",1,"Subscriber","Female","cloudy",19,10.0008865248227,94
"42",1,"Subscriber","Female","cloudy",19.9,10.4319047619048,35
"43",1,"Subscriber","Female","cloudy",21,8.41203703703704,54
"44",1,"Subscriber","Female","cloudy",21.9,11.1826126126126,185
"45",1,"Subscriber","Female","cloudy",23,8.13243243243243,37
"46",1,"Subscriber","Female","cloudy",24.1,10.6006060606061,55
"47",1,"Subscriber","Female","cloudy",25,10.493359375,256
"48",1,"Subscriber","Female","cloudy",26.1,11.5831851851852,225
"49",1,"Subscriber","Female","cloudy",27,9.80229166666667,80
"50",1,"Subscriber","Female","cloudy",28,10.7255144032922,243
"51",1,"Subscriber","Female","cloudy",28.9,10.3383124627311,559
"52",1,"Subscriber","Female","cloudy",30,10.9832402234637,179
"53",1,"Subscriber","Female","cloudy",30.9,10.2828853046595,186
"54",1,"Subscriber","Female","cloudy",32,11.2166666666667,99
"55",1,"Subscriber","Female","cloudy",33.1,10.4245742092457,137
"56",1,"Subscriber","Female","cloudy",33.8,10.3045454545455,44
"57",1,"Subscriber","Female","cloudy",34,9.75421455938697,348
"58",1,"Subscriber","Female","cloudy",35.1,11.1821131879543,642
"59",1,"Subscriber","Female","cloudy",36,10.9156211562116,271
"60",1,"Subscriber","Female","cloudy",37,10.9126213592233,103
"61",1,"Subscriber","Female","cloudy",37.9,9.92187112763321,269
